school_name,school_rank,school_address
吉林财经大学,930,吉林省
吉林通用航空职业技术学院,933,吉林省
吉林铁道职业技术大学,716,吉林省
同济大学,14,上海市
同济大学浙江学院,439,浙江省
吕梁学院,370,山西省
吕梁师范高等专科学校,1199,山西省
吕梁职业技术学院,1043,山西省
周口城市职业学院,866,河南省
周口师范学院,288,河南省
周口文理职业学院,607,河南省
周口智慧能源职业学院,1072,河南省
周口理工职业学院,1266,河南省
周口职业技术学院,916,河南省
呼伦贝尔学院,335,内蒙古自治区
呼伦贝尔职业技术学院,1089,内蒙古自治区
呼和浩特民族学院,1523,内蒙古自治区
呼和浩特职业技术大学,1188,内蒙古自治区
和君职业学院,1396,江西省
哈尔滨传媒职业学院,953,黑龙江省
哈尔滨体育学院,768,黑龙江省
哈尔滨信息工程学院,1320,黑龙江省
哈尔滨剑桥学院,1686,黑龙江省
哈尔滨北方航空职业技术学院,903,黑龙江省
哈尔滨医科大学,1668,黑龙江省
哈尔滨华德学院,1143,黑龙江省
哈尔滨商业大学,689,黑龙江省
哈尔滨商贸职业学院,569,黑龙江省
哈尔滨城市职业学院,576,黑龙江省
哈尔滨学院,298,黑龙江省
哈尔滨工业大学,13,黑龙江省
哈尔滨工程大学,33,黑龙江省
哈尔滨师范大学,174,黑龙江省
哈尔滨幼儿师范高等专科学校,1406,黑龙江省
哈尔滨广厦学院,1653,黑龙江省
哈尔滨应用职业技术学院,1112,黑龙江省
哈尔滨理工大学,166,黑龙江省
哈尔滨电力职业技术学院,1363,黑龙江省
哈尔滨石油学院,949,黑龙江省
哈尔滨科学技术职业学院,1530,黑龙江省
哈尔滨职业技术大学,834,黑龙江省
哈尔滨远东理工学院,795,黑龙江省
哈尔滨金融学院,1402,黑龙江省
哈尔滨铁道职业技术学院,462,黑龙江省
哈尔滨音乐学院,1015,黑龙江省
唐山学院,386,河北省
唐山工业职业技术大学,1362,河北省
唐山师范学院,294,河北省
唐山幼儿师范高等专科学校,1797,河北省
唐山海运职业学院,1227,河北省
唐山科技职业技术学院,1186,河北省
唐山职业技术学院,538,河北省
商丘医学高等专科学校,397,河南省
商丘学院,1006,河南省
商丘工学院,1346,河南省
商丘师范学院,301,河南省
商丘幼儿师范高等专科学校,615,河南省
商丘职业技术学院,1667,河南省
嘉兴南洋职业技术学院,1487,浙江省
嘉兴南湖学院,1733,浙江省
嘉兴大学,161,浙江省
嘉兴职业技术学院,1552,浙江省
四平现代职业学院,1339,吉林省
四平职业大学,824,吉林省
国际关系学院,154,北京市
复旦大学,5,上海市
外交学院,1702,北京市
大兴安岭职业学院,1201,黑龙江省
大同师范高等专科学校,1723,山西省
大同数据科技职业学院,1096,山西省
大同煤炭职业技术学院,1312,山西省
大庆医学高等专科学校,1256,黑龙江省
大庆师范学院,339,黑龙江省
大庆职业学院,1737,黑龙江省
大连东软信息学院,1385,辽宁省
大连交通大学,191,辽宁省
大连医科大学,963,辽宁省
大连医科大学中山学院,967,辽宁省
大连商务职业学院,445,辽宁省
大连外国语大学,1220,辽宁省
大连大学,184,辽宁省
大连工业大学,153,辽宁省
大连工业大学艺术与信息工程学院,1526,辽宁省
大连枫叶职业技术学院,1378,辽宁省
大连民族大学,1728,辽宁省
大连汽车职业技术学院,1413,辽宁省
大连海事大学,81,辽宁省
大连海洋大学,218,辽宁省
大连理工大学,23,辽宁省
大连理工大学城市学院,414,辽宁省
大连科技学院,1057,辽宁省
大连翻译职业学院,1582,辽宁省
大连职业技术学院,766,辽宁省
大连航运职业技术学院,456,辽宁省
大连艺术学院,664,辽宁省
大连装备制造职业技术学院,1550,辽宁省
大连财经学院,1395,辽宁省
大连软件职业学院,1226,辽宁省
天津中医药大学,1604,天津市
天津中德应用技术大学,360,天津市
天津交通职业学院,1615,天津市
天津仁爱学院,1354,天津市
天津传媒学院,831,天津市
天津体育学院,1442,天津市
天津体育职业学院,1474,天津市
天津农学院,250,天津市
天津医学高等专科学校,1061,天津市
天津医科大学,1075,天津市
天津医科大学临床医学院,1517,天津市
天津商业大学,1471,天津市
天津商业大学宝德学院,1754,天津市
天津商务职业学院,631,天津市
天津国土资源和房屋职业学院,1759,天津市
天津城市建设管理职业技术学院,1175,天津市
天津城市职业学院,1181,天津市
天津城建大学,235,天津市
天津外国语大学,1258,天津市
天津外国语大学滨海外事学院,441,天津市
天津大学,17,天津市
天津天狮学院,1671,天津市
天津工业大学,98,天津市
天津工业职业学院,614,天津市
天津工程职业技术学院,396,天津市
天津工艺美术职业学院,465,天津市
天津市职业大学,845,天津市
天津师范大学,101,天津市
天津师范大学津沽学院,788,天津市
天津广播影视职业学院,1298,天津市
天津开发区职业技术学院,733,天津市
天津机电职业技术学院,1007,天津市
天津海运职业学院,696,天津市
天津渤海职业技术学院,1158,天津市
天津滨海汽车工程职业学院,1038,天津市
天津滨海职业学院,947,天津市
天津现代职业技术学院,1418,天津市
天津理工大学,135,天津市
天津理工大学中环信息学院,1609,天津市
天津生物工程职业技术学院,1404,天津市
天津电子信息职业技术学院,730,天津市
天津石油职业技术学院,598,天津市
天津科技大学,118,天津市
天津美术学院,629,天津市
天津职业技术师范大学,248,天津市
天津艺术职业学院,1488,天津市
天津警察学院,1228,天津市
天津财经大学,656,天津市
天津财经大学珠江学院,719,天津市
天津轻工职业技术学院,758,天津市
天津铁道职业技术学院,1340,天津市
天津音乐学院,1265,天津市
太原城市职业技术学院,1506,山西省
太原学院,384,山西省
太原工业学院,351,山西省
太原师范学院,287,山西省
太原幼儿师范高等专科学校,1644,山西省
太原理工大学,78,山西省
太原科技大学,217,山西省
太湖创意职业技术学院,712,江苏省
威海海洋职业学院,1044,山东省
威海职业学院,1515,山东省
宁德师范学院,310,福建省
宁德职业技术学院,936,福建省
宁波东方理工大学,894,浙江省
宁波卫生职业技术学院,1681,浙江省
宁波城市职业技术学院,982,浙江省
宁波大学,58,浙江省
宁波大学科学技术学院,1329,浙江省
宁波工程学院,214,浙江省
宁波幼儿师范高等专科学校,769,浙江省
宁波职业技术大学,1632,浙江省
宁波诺丁汉大学,1053,浙江省
宁波财经学院,453,浙江省
安庆医药高等专科学校,400,安徽省
安庆师范大学,241,安徽省
安庆职业技术学院,1629,安徽省
安徽三联学院,1069,安徽省
安徽中医药大学,485,安徽省
安徽中医药高等专科学校,590,安徽省
安徽中澳科技职业学院,1620,安徽省
安徽交通职业技术学院,1469,安徽省
安徽体育运动职业技术学院,1067,安徽省
安徽信息工程学院,1673,安徽省
安徽公安学院,583,安徽省
安徽公安职业学院,1730,安徽省
安徽农业大学,112,安徽省
安徽冶金科技职业学院,815,安徽省
安徽医科大学,410,安徽省
安徽医科大学临床医学院,406,安徽省
安徽卫生健康职业学院,1490,安徽省
安徽商贸职业技术学院,1414,安徽省
安徽国防科技职业学院,1184,安徽省
安徽国际商务职业学院,426,安徽省
安徽城市管理职业学院,635,安徽省
安徽外国语学院,1739,安徽省
安徽大学,70,安徽省
安徽审计职业学院,743,安徽省
安徽工业大学,136,安徽省
安徽工业经济职业技术学院,1239,安徽省
安徽工业职业技术学院,1377,安徽省
安徽工商职业学院,1687,安徽省
安徽工程大学,188,安徽省
安徽工贸职业技术学院,659,安徽省
安徽师范大学,99,安徽省
安徽广播影视职业技术学院,1773,安徽省
安徽建筑大学,195,安徽省
安徽扬子职业技术学院,1409,安徽省
安徽文达信息工程学院,1012,安徽省
安徽新华学院,1361,安徽省
安徽新闻出版职业技术学院,477,安徽省
安徽机电职业技术学院,1382,安徽省
安徽林业职业技术学院,526,安徽省
安徽水利水电职业技术学院,1756,安徽省
安徽汽车职业技术学院,634,安徽省
安徽涉外经济职业学院,695,安徽省
安徽现代信息工程职业学院,690,安徽省
安徽理工大学,141,安徽省
安徽电子信息职业技术学院,828,安徽省
安徽电气工程职业技术学院,926,安徽省
安徽矿业职业技术学院,1302,安徽省
安徽科技学院,256,安徽省
安徽第二医学院,1048,安徽省
安徽粮食工程职业学院,710,安徽省
安徽绿海商务职业学院,533,安徽省
安徽职业技术大学,546,安徽省
安徽艺术学院,1778,安徽省
安徽艺术职业学院,1456,安徽省
安徽警官职业学院,1394,安徽省
安徽财经大学,731,安徽省
安徽财贸职业学院,1585,安徽省
安徽邮电职业技术学院,1003,安徽省
安徽黄梅戏艺术职业学院,517,安徽省
安阳学院,1570,河南省
安阳工学院,312,河南省
安阳师范学院,293,河南省
安阳幼儿师范高等专科学校,630,河南省
安阳职业技术学院,611,河南省
宜春学院,308,江西省
宜春幼儿师范高等专科学校,669,江西省
宜春职业技术学院,1716,江西省
宣化科技职业学院,1711,河北省
宣城职业技术学院,647,安徽省
宿州学院,325,安徽省
宿州职业技术学院,830,安徽省
宿州航空职业学院,1375,安徽省
宿迁学院,290,江苏省
宿迁幼儿师范高等专科学校,1746,江苏省
宿迁泽达职业技术学院,1519,江苏省
宿迁职业技术学院,1541,江苏省
对外经济贸易大学,1521,北京市
山东中医药大学,1524,山东省
山东中医药高等专科学校,990,山东省
山东交通学院,242,山东省
山东交通职业学院,1555,山东省
山东传媒职业学院,961,山东省
山东体育学院,1019,山东省
山东信息职业技术学院,1495,山东省
山东农业大学,104,山东省
山东农业工程学院,331,山东省
山东力明科技职业学院,1116,山东省
山东劳动职业技术学院,424,山东省
山东化工职业学院,774,山东省
山东医学高等专科学校,1678,山东省
山东华宇工学院,1054,山东省
山东协和学院,1141,山东省
山东司法警官职业学院,1260,山东省
山东商业职业技术学院,1082,山东省
山东商务职业学院,579,山东省
山东圣翰财贸职业学院,1347,山东省
山东城市建设职业学院,539,山东省
山东城市服务职业学院,572,山东省
山东外事职业大学,875,山东省
山东外国语职业技术大学,1690,山东省
山东外贸职业学院,1676,山东省
山东大学,19,山东省
山东女子学院,315,山东省
山东工业职业学院,1804,山东省
山东工商学院,801,山东省
山东工程职业技术大学,1001,山东省
山东工艺美术学院,1114,山东省
山东师范大学,75,山东省
山东建筑大学,172,山东省
山东政法学院,1501,山东省
山东文化产业职业学院,474,山东省
山东文化艺术职业学院,589,山东省
山东旅游职业学院,1140,山东省
山东服装职业学院,814,山东省
山东杏林科技职业学院,846,山东省
山东水利职业学院,1790,山东省
山东海事职业学院,1326,山东省
山东特殊教育职业学院,627,山东省
山东现代学院,1332,山东省
山东理工大学,140,山东省
山东理工职业学院,1202,山东省
山东电力高等专科学校,1708,山东省
山东电子职业技术学院,444,山东省
山东畜牧兽医职业学院,653,山东省
山东石油化工学院,385,山东省
山东科技大学,90,山东省
山东科技职业学院,913,山东省
山东第一医科大学,1254,山东省
山东第二医科大学,553,山东省
山东管理学院,326,山东省
山东经贸职业学院,975,山东省
山东职业学院,781,山东省
山东胜利职业学院,1310,山东省
山东航空学院,263,山东省
山东艺术学院,1100,山东省
山东艺术设计职业学院,1221,山东省
山东英才学院,1093,山东省
山东药品食品职业学院,1229,山东省
山东警察学院,843,山东省
山东财经大学,929,山东省
山东财经大学东方学院,1107,山东省
山东财经大学燕山学院,792,山东省
山东轻工职业学院,799,山东省
山东铝业职业学院,1461,山东省
山东青年政治学院,334,山东省
山西中医药大学,1041,山西省
山西传媒学院,1593,山西省
山西体育职业学院,1431,山西省
山西信息职业技术学院,805,山西省
山西农业大学,158,山西省
山西医科大学,1655,山西省
山西医药学院,1576,山西省
山西华澳商贸职业学院,1421,山西省
山西卫生健康职业学院,1121,山西省
山西同文职业技术学院,821,山西省
山西国际商务职业学院,1674,山西省
山西大同大学,358,山西省
山西大学,73,山西省
山西工商学院,1151,山西省
山西工学院,1638,山西省
山西工程技术学院,378,山西省
山西工程科技职业大学,391,山西省
山西工程职业学院,1449,山西省
山西师范大学,181,山西省
山西应用科技学院,1578,山西省
山西文化旅游职业大学,455,山西省
山西晋中理工学院,1064,山西省
山西机电职业技术学院,1610,山西省
山西林业职业技术学院,1198,山西省
山西水利职业技术学院,490,山西省
山西电力职业技术学院,1696,山西省
山西电子科技学院,361,山西省
山西省财政税务专科学校,819,山西省
山西科技学院,395,山西省
山西管理职业学院,1033,山西省
山西经贸职业学院,868,山西省
山西老区职业技术学院,467,山西省
山西职业技术学院,907,山西省
山西能源学院,372,山西省
山西药科职业学院,973,山西省
山西警官职业学院,826,山西省
山西警察学院,459,山西省
山西财经大学,1794,山西省
山西财经大学华商学院,943,山西省
山西财贸职业技术学院,1496,山西省
山西运城农业职业技术学院,416,山西省
山西通用航空职业技术学院,960,山西省
山西金融职业学院,1457,山西省
山西铁道职业技术学院,1546,山西省
嵩山少林武术职业学院,591,河南省
巢湖学院,329,安徽省
常州信息职业技术学院,505,江苏省
常州大学,109,江苏省
常州大学怀德学院,1744,江苏省
常州工业职业技术学院,508,江苏省
常州工学院,233,江苏省
常州工程职业技术学院,1763,江苏省
常州幼儿师范高等专科学校,1605,江苏省
常州机电职业技术学院,1017,江苏省
常州纺织服装职业技术学院,763,江苏省
常州铁道职业技术学院,1720,江苏省
平顶山学院,305,河南省
平顶山工业职业技术学院,1264,河南省
平顶山文化艺术职业学院,797,河南省
平顶山科技职业学院,741,河南省
平顶山职业技术学院,646,河南省
应天职业技术学院,1311,江苏省
康复大学,1235,山东省
廊坊卫生职业学院,686,河北省
廊坊师范学院,390,河北省
廊坊燕京职业技术学院,1051,河北省
廊坊职业技术学院,1282,河北省
延边大学,122,吉林省
延边职业技术学院,1594,吉林省
建东职业技术学院,1376,江苏省
开封大学,1725,河南省
开封工程职业学院,1380,河南省
开封文化艺术职业学院,1664,河南省
开封智慧健康职业学院,1612,河南省
开封职业学院,1088,河南省
张家口学院,375,河北省
张家口职业技术学院,909,河北省
徐州医科大学,1463,江苏省
徐州工业职业技术学院,1417,江苏省
徐州工程学院,237,江苏省
徐州幼儿师范高等专科学校,1232,江苏省
徐州生物工程职业技术学院,1145,江苏省
德州学院,280,山东省
德州工程职业学院,912,山东省
德州科技职业学院,595,山东省
德州职业技术学院,575,山东省
徽商职业学院,854,安徽省
忻州师范学院,355,山西省
忻州职业技术学院,1207,山西省
